external_compound_id,tautomer_family_key,development_compound_ids_json,in_primary_external,removed_from_tautomer_sensitivity
CMP:BXYPVKMROLGXJI-JTQLQIEISA-N,TAU:28be211d9fa7283065a61125faa59dc54f5bda2c8842a80f3ef3f7399b8c424b,"[""CMP:BXYPVKMROLGXJI-JTQLQIEISA-N""]",false,false
CMP:BYKYTXUAKJDVPV-UHFFFAOYSA-N,TAU:704f4cc0e70d795194e497172c61dbe53fec9b78750b34ac275e7b20c671c0ef,"[""CMP:BYKYTXUAKJDVPV-UHFFFAOYSA-N""]",false,false
CMP:BYMPKULJRANZCQ-UHFFFAOYSA-N,TAU:27174618f70dc4eeac3affa95e9d8a9b717b4e3402acf2c633d2c77d95e6a3dc,"[""CMP:BYMPKULJRANZCQ-UHFFFAOYSA-N""]",false,false
CMP:BZHJMEDXRYGGRV-UHFFFAOYSA-N,TAU:8e5bbdd99f68099acac62573e5c0175bd0d9b5d7a79285530d62223a11d30f18,"[""CMP:BZHJMEDXRYGGRV-UHFFFAOYSA-N""]",false,false
CMP:BZLVMXJERCGZMT-UHFFFAOYSA-N,TAU:b58632b336170bd85058dd8b659f436f1de4e4e45924b31f729bc82bd8fa1ae5,"[""CMP:BZLVMXJERCGZMT-UHFFFAOYSA-N""]",false,false
CMP:BZXUQIDKDGGYPB-UHFFFAOYSA-N,TAU:09d8a70d36d2f0ac5e5482dfa295c54f50fe5a3370e8a435011d4b2f66fa0e21,"[""CMP:BZXUQIDKDGGYPB-UHFFFAOYSA-N""]",false,false
CMP:CAUBWLYZCDDYEF-UHFFFAOYSA-N,TAU:3e42492d459f386958205aba587bba347c7f382e210f92e2373cd3682c50b29c,"[""CMP:CAUBWLYZCDDYEF-UHFFFAOYSA-N""]",false,false
CMP:CAWXEEYDBZRFPE-UHFFFAOYSA-N,TAU:c159c203d6b952a182a5015c2bd5a1036c2db455ce4e31e717cbcfcf947b4e6a,"[""CMP:CAWXEEYDBZRFPE-UHFFFAOYSA-N""]",false,false
CMP:CAYGQBVSOZLICD-UHFFFAOYSA-N,TAU:c388e55219dce9a1833ed25f90f30da9ed9d84d91266f7238ae4f96e25a214be,"[""CMP:CAYGQBVSOZLICD-UHFFFAOYSA-N""]",false,false
CMP:CBCKQZAAMUWICA-UHFFFAOYSA-N,TAU:61b1d7a5005fd19286f8966fc2e34efbefa0e635d327c2874acdb39786b5d17d,"[""CMP:CBCKQZAAMUWICA-UHFFFAOYSA-N""]",false,false
CMP:CBPKIOGAUWKEFT-UHFFFAOYSA-N,TAU:0f96108d053eccc4d81e7a090b591e0c2fa0eab19ffe442c11df22afd4b636c7,"[""CMP:CBPKIOGAUWKEFT-UHFFFAOYSA-N""]",false,false
CMP:CCTMZRHJDTTZRF-UHFFFAOYSA-N,TAU:596db50ee708b04f4d74a968a365be14865504d0383f72f8960b1fdcef96d5a8,"[""CMP:CCTMZRHJDTTZRF-UHFFFAOYSA-N""]",false,false
CMP:CDCHDCWJMGXXRH-UHFFFAOYSA-N,TAU:cf398d5aa273c0ef322862e37027661b172feb50509a3997f3ba4523b2c65b4b,"[""CMP:CDCHDCWJMGXXRH-UHFFFAOYSA-N""]",false,false
CMP:CDGNLUSBENXDGG-UHFFFAOYSA-N,TAU:93632dec19bbe9699abf7303ca15092003d808f0e84ddf216f5df76926a97d1a,"[""CMP:CDGNLUSBENXDGG-UHFFFAOYSA-N""]",false,false
CMP:CEHDRGBLVBQUPH-UHFFFAOYSA-N,TAU:b2a1707fafb1e2431d227f1b1807ccf943174b0c2529aacd7a048dfa52254084,"[""CMP:CEHDRGBLVBQUPH-UHFFFAOYSA-N""]",false,false
CMP:CEOCDNVZRAIOQZ-UHFFFAOYSA-N,TAU:629c7410c9977c9fe4abed7fd380eefcc3d4364955245873c6daf7a2f5925a17,"[""CMP:CEOCDNVZRAIOQZ-UHFFFAOYSA-N""]",false,false
CMP:CERQOIWHTDAKMF-UHFFFAOYSA-N,TAU:b225e583df6a2c800c47ef7bc51b62692e98407ca614705d506e3b59b82f72bb,"[""CMP:CERQOIWHTDAKMF-UHFFFAOYSA-N""]",false,false
CMP:CFBYEGUGFPZCNF-UHFFFAOYSA-N,TAU:ce132f083ba44e1c9a7cc1032828e7fe358696f10303324c68d7d66eae2658c8,"[""CMP:CFBYEGUGFPZCNF-UHFFFAOYSA-N""]",false,false
CMP:CFXQEHVMCRXUSD-UHFFFAOYSA-N,TAU:495fad66f5d4eea2df764357611310efe7bce5d6f6f07caf7b506b8c1e3bd7e6,"[""CMP:CFXQEHVMCRXUSD-UHFFFAOYSA-N""]",false,false
CMP:CGIGDMFJXJATDK-UHFFFAOYSA-N,TAU:74a37516f1885ca6d88e12b8d17d9eaded6f29569a3307364a042f68211e893f,"[""CMP:CGIGDMFJXJATDK-UHFFFAOYSA-N""]",false,false
CMP:CGYGETOMCSJHJU-UHFFFAOYSA-N,TAU:55b0153978789ab626dbba666fb9229f907db4ec800ec3eb712ae5b3df3cd45b,"[""CMP:CGYGETOMCSJHJU-UHFFFAOYSA-N""]",false,false
CMP:CHERCCPWQNZOOH-UHFFFAOYSA-N,TAU:207b59325ad0a5d43271ac290df62ab6e463a9a2c747d7d3464ea059aca6ce70,"[""CMP:CHERCCPWQNZOOH-UHFFFAOYSA-N""]",false,false
CMP:CHUGKEQJSLOLHL-UHFFFAOYSA-N,TAU:26cfcda97913e5dd365822ef17abcd96d48b590d7957cdee2f24907dd89bc698,"[""CMP:CHUGKEQJSLOLHL-UHFFFAOYSA-N""]",false,false
CMP:CIZVQWNPBGYCGK-UHFFFAOYSA-N,TAU:e4df216d4233316b78c804f2da15fa278a511243c0cd0cce3ec6439d9bea5f8b,"[""CMP:CIZVQWNPBGYCGK-UHFFFAOYSA-N""]",false,false
