record_key,source_dataset,source_record_id,exclusion_reason
REC:9c5102a2be3c97e742280909b4822f4a8f72d756b6ee2a904f8ff4f62282c1a0,ccris,102:cstu:9,no_standardized_key
REC:9c5102a2be3c97e742280909b4822f4a8f72d756b6ee2a904f8ff4f62282c1a0,ccris,102:cstu:9,来源结构状态不可接受：unresolved
REC:8b647a95277d1af4912c7427b31eae2a4a72e3c8ba150b5ed743a83881718f5c,ccris,1030:no_carcinogenicity,无致癌性试验记录
REC:2bf9794e0b508eaed38740cd8d0c9dec6b21d90ee87cfc44237b46965cc929be,ccris,1031:no_carcinogenicity,no_standardized_key
REC:2bf9794e0b508eaed38740cd8d0c9dec6b21d90ee87cfc44237b46965cc929be,ccris,1031:no_carcinogenicity,无致癌性试验记录
REC:2bf9794e0b508eaed38740cd8d0c9dec6b21d90ee87cfc44237b46965cc929be,ccris,1031:no_carcinogenicity,来源结构状态不可接受：unresolved
REC:216e3fa4c1edddb5c86e27fdee12a64e21e8195b884a09a20c8f4a43391fe78b,ccris,1033:no_carcinogenicity,no_standardized_key
REC:216e3fa4c1edddb5c86e27fdee12a64e21e8195b884a09a20c8f4a43391fe78b,ccris,1033:no_carcinogenicity,存在中性共组分，按混合物、溶剂化物或加合物排除
REC:216e3fa4c1edddb5c86e27fdee12a64e21e8195b884a09a20c8f4a43391fe78b,ccris,1033:no_carcinogenicity,无致癌性试验记录
REC:a497121b6c3b3e415c840051e7dbb1aaa2d539db0eb59559f0ba601bfd781478,ccris,1035:no_carcinogenicity,无致癌性试验记录
REC:6467765ff61dcf7146fc6c5d7b3ef1cb46df74033865f89018e6fcd217216d7d,ccris,1037:no_carcinogenicity,无致癌性试验记录
REC:7729aa1b45038978c9a59df834973aaa462ffa9c9405756f051924f07861ddb1,ccris,1038:no_carcinogenicity,无致癌性试验记录
REC:520fb61f23cbacfa6e2316053f152f053c8ab6ecbd6c300cbe0170a7322ebae9,ccris,1039:no_carcinogenicity,无致癌性试验记录
REC:8dda544f845c0f23a2617a95990c43c47d9a59ace9fd146a9db1c1fcbfd2d983,ccris,1040:no_carcinogenicity,无致癌性试验记录
REC:a2e8adfa6ae67b7a20f52fbad58ed32a0f8211953ddb6796bbe55267280cbfa9,ccris,1041:no_carcinogenicity,no_standardized_key
REC:a2e8adfa6ae67b7a20f52fbad58ed32a0f8211953ddb6796bbe55267280cbfa9,ccris,1041:no_carcinogenicity,存在中性共组分，按混合物、溶剂化物或加合物排除
