connectivity_key,contribution_type,contributor_id,source_dataset
BODKAQWWZBLGOU,excluded_record_component,REC:37f30d8a96195ee0624677bcea51e21907a483728505378b596801e50229abbc,cpdb
BODKAQWWZBLGOU,excluded_record_component,REC:412db7bcfc717adf022d251fd525720d764b8fb9922abac173d961e429bb2eb7,cpdb
BODKAQWWZBLGOU,excluded_record_component,REC:6a7fcf86a06407897747872caf0b5c36d3250937f8f35bb2f719407e59aceee6,cpdb
BODKAQWWZBLGOU,excluded_record_component,REC:6dfdfc52287e574eee472c3c4c096b1ae3b9f9464c1ff90dd30d20d03329e338,cpdb
BODKAQWWZBLGOU,excluded_record_component,REC:a829354a4e76495da68c0d0691e1105603d0fadb73b4fe5abf297b23e6396a69,cpdb
BODKAQWWZBLGOU,excluded_record_component,REC:ad51add37eda8ef12ed80864fad01e7236d8f2557fed978b279f1985bb25fd1d,cpdb
BODKAQWWZBLGOU,excluded_record_component,REC:c7c91cf971e8cf01ddf8ba6507470b0db04a585295ad67e05933f21663a9344f,cpdb
BODKAQWWZBLGOU,excluded_record_component,REC:d12254cbb4e069cc9458625697526c243672660e44967cd5ab3810acaf709ccc,cpdb
BODKAQWWZBLGOU,excluded_record_component,REC:d7e4e82f469ce33afe2099d961f8a50405923d3be6b9d837e99b8b7a3e1d6df9,iris
BODKAQWWZBLGOU,excluded_record_component,REC:e5527a7f9978859a633834cda14ff709196609f6f5b183f10b9d682a7f804e45,cpdb
BODKAQWWZBLGOU,excluded_record_component,REC:f1ac6af162c19dae9151ce0faede121b8d12046e7468f3a88b0c06c5700bfa81,cpdb
BODKAQWWZBLGOU,excluded_record_component,REC:fa365a9764c626e6722d5044ce03905a3f04c7551d069754b934949ce9e1ffe0,cpdb
BOSMZFBHAYFUBJ,compound_role,CMP:BOSMZFBHAYFUBJ-UHFFFAOYSA-N,cpdb
BOUGCJDAQLKBQH,compound_role,CMP:BOUGCJDAQLKBQH-UHFFFAOYSA-N,cpdb
BPICBUSOMSTKRF,excluded_record_component,REC:5a6514b145c4309d5dc558ecd803680aeee5b66a34547871b7399436d9ce7e88,cpdb
BPLBGHOLXOTWMN,compound_role,CMP:BPLBGHOLXOTWMN-MBNYWOFBSA-N,cpdb
BQCIDUSAKPWEOX,compound_role,CMP:BQCIDUSAKPWEOX-UHFFFAOYSA-N,cpdb
BQDAFHDHPLPCLC,compound_role,CMP:BQDAFHDHPLPCLC-UHFFFAOYSA-N,cpdb
BQQUFAMSJAKLNB,compound_role,CMP:BQQUFAMSJAKLNB-UHFFFAOYSA-N,cpdb
BRLQWZUYTZBJKN,compound_role,CMP:BRLQWZUYTZBJKN-UHFFFAOYSA-N,cpdb
BRLQWZUYTZBJKN,compound_role,CMP:BRLQWZUYTZBJKN-UHFFFAOYSA-N,iris
BRWIZMBXBAOCCF,compound_role,CMP:BRWIZMBXBAOCCF-UHFFFAOYSA-N,cpdb
BSPCSKHALVHRSR,compound_role,CMP:BSPCSKHALVHRSR-UHFFFAOYSA-N,iris
BSYNRYMUTXBXSQ,compound_role,CMP:BSYNRYMUTXBXSQ-UHFFFAOYSA-N,cpdb
BSYNRYMUTXBXSQ,excluded_record_component,REC:01e46d0428127ac60e05b413e828fb8ebde6c7fb903e4d5f6f4bcf6e7159a8ec,cpdb
BSYNRYMUTXBXSQ,excluded_record_component,REC:1ca98c7e68a50d132271438dd0472c4cbf0013e36ad887f9136cfff48328c34d,cpdb
BSYNRYMUTXBXSQ,excluded_record_component,REC:293f3aa51059469992d231f9dd39181f308049ebab13caca340fa99cde5d05ab,cpdb
BSYNRYMUTXBXSQ,excluded_record_component,REC:32980789e4ac470395013c4b9cc046e2da0fe3fb00865a77f0fb047f0919767e,cpdb
BSYNRYMUTXBXSQ,excluded_record_component,REC:3e2ac2ad00debbed43ac1f84e651923af793c8d6688ef748f0a6eb4d15934d76,cpdb
BSYNRYMUTXBXSQ,excluded_record_component,REC:514a293f908cd2c665f12879604371a3e347f933aafe225a9d5ddc838f152d31,cpdb
BSYNRYMUTXBXSQ,excluded_record_component,REC:70b046146a8866acebe216fcf7a52fe3be945c45bf1dd265eeb466245f68600f,cpdb
BSYNRYMUTXBXSQ,excluded_record_component,REC:a8e0093ddc446d6929d0298389ccbae91e5d6c275a533c429127ffbe1f8db3e6,cpdb
